,t,t-tau,t+1
0,0,0,0
1,0,1.2,0
2,0,1,0
3,0,0.9,0
4,0,0.81,0
5,0,0.729,0
6,0,0.6561,0
7,0,0.59049,0
8,0,0.531441,0
9,0,0.4782969,0
10,0,0.43046721,0
11,0,0.387420489,0
12,0,0.3486784401,0
13,0,0.31381059609,0
14,0,0.282429536481,0
15,0,0.2541865828329,0
16,0,0.22876792454961,0
17,0,0.205891132094649,1.2
18,1.2,0.185302018885184,1
19,1,0.200143451592794,0.9
20,0.9,0.280129106433515,0.81
21,0.81,0.38558018145798,0.729
22,0.729,0.491461688989665,0.6561
23,0.6561,0.582186238335514,0.59049
24,0.59049,0.653276317696732,0.531441
25,0.531441,0.705441156146993,0.4782969
26,0.4782969,0.740994582157198,0.43046721
27,0.43046721,0.762494603339347,0.387420489
28,0.387420489,0.77231977989211,0.3486784401
29,0.3486784401,0.772565997619418,0.31381059609
30,0.31381059609,0.765043233649248,0.282429536481
31,0.282429536481,0.751300448243423,0.2541865828329
32,0.2541865828329,0.732656128308979,0.22876792454961
33,0.22876792454961,0.71022777480351,0.205891132094649
34,0.205891132094649,0.684958564270188,0.185302018885184
35,0.185302018885184,0.657640928625151,0.200143451592794
36,0.200143451592794,0.628937237770739,0.280129106433515
37,0.280129106433515,0.606072200183792,0.38558018145798
38,0.38558018145798,0.60149063473918,0.491461688989665
39,0.491461688989665,0.61845200662629,0.582186238335514
40,0.582186238335514,0.65481840920041,0.653276317696732
41,0.653276317696732,0.705255287095279,0.705441156146993
42,0.705441156146993,0.763561164469334,0.740994582157198
43,0.740994582157198,0.824114575303877,0.762494603339347
44,0.762494603339347,0.882857617268499,0.77231977989211
45,0.77231977989211,0.937571250090148,0.772565997619418
46,0.772565997619418,0.987434154019063,0.765043233649248
47,0.765043233649248,1.03232436107155,0.751300448243423
48,0.751300448243423,1.07226666279231,0.732656128308979
49,0.732656128308979,1.10715711542438,0.71022777480351
50,0.71022777480351,1.13672095675378,0.684958564270188
51,0.684958564270188,1.16060232996637,0.657640928625151
52,0.657640928625151,1.1784888937003,0.628937237770739
53,0.628937237770739,1.19020760914528,0.606072200183792
54,0.606072200183792,1.19576780295754,0.60149063473918
55,0.60149063473918,1.19660026327306,0.61845200662629
56,0.61845200662629,1.19649728595601,0.65481840920041
57,0.65481840920041,1.19953367718926,0.705255287095279
58,0.705255287095279,1.2086728357094,0.763561164469334
59,0.763561164469334,1.22468967589608,0.824114575303877
60,0.824114575303877,1.24529467464377,0.882857617268499
61,0.882857617268499,1.26477789981742,0.937571250090148
62,0.937571250090148,1.27542408057338,0.987434154019063
63,0.987434154019063,1.27085319001046,1.03232436107155
64,1.03232436107155,1.24874626159363,1.07226666279231
65,1.07226666279231,1.21082054655574,1.10715711542438
66,1.10715711542438,1.161003853919,1.13672095675378
67,1.13672095675378,1.10367707924218,1.16060232996637
68,1.16060232996637,1.04271099162453,1.1784888937003
69,1.1784888937003,0.98115310410396,1.19020760914528
70,1.19020760914528,0.92125577421324,1.19576780295754
71,1.19576780295754,0.864634265137043,1.19660026327306
72,1.19660026327306,0.812449252799816,1.19649728595601
73,1.19649728595601,0.765302608957687,1.19953367718926
74,1.19953367718926,0.72289286512119,1.2086728357094
75,1.2086728357094,0.684074030637374,1.22468967589608
76,1.22468967589608,0.64724909878865,1.24529467464377
77,1.24529467464377,0.611037410185857,1.26477789981742
78,1.26477789981742,0.574918186680899,1.27542408057338
79,1.27542408057338,0.539470953105467,1.27085319001046
80,1.27085319001046,0.506110840971215,1.24874626159363
81,1.24874626159363,0.476700271161965,1.21082054655574
82,1.21082054655574,0.453466985634432,1.161003853919
83,1.161003853919,0.439273763741136,1.10367707924218
84,1.10367707924218,0.437953907597033,1.04271099162453
85,1.04271099162453,0.454112260567521,0.98115310410396
86,0.98115310410396,0.491479331215048,0.92125577421324
87,0.92125577421324,0.549752734262526,0.864634265137043
88,0.864634265137043,0.622698178973191,0.812449252799816
89,0.812449252799816,0.70061808414,0.765302608957687
90,0.765302608957687,0.774952771845774,0.72289286512119
91,0.72289286512119,0.840649524651429,0.684074030637374
92,0.684074030637374,0.895740140609249,0.64724909878865
93,0.64724909878865,0.939978134626062,0.611037410185857
94,0.611037410185857,0.973781037726754,0.574918186680899
95,0.574918186680899,0.997730105100034,0.539470953105467
96,0.539470953105467,1.01248888998592,0.506110840971215
97,0.506110840971215,1.01890940369199,0.476700271161965
98,0.476700271161965,1.01812913702718,0.453466985634432
99,0.453466985634432,1.01159853895106,0.439273763741136
100,0.439273763741136,1.00109874930868,0.437953907597033
101,0.437953907597033,0.988820130703332,0.454112260567521
102,0.454112260567521,0.977506167566561,0.491479331215048
103,0.491479331215048,0.970544144746816,0.549752734262526
104,0.549752734262526,0.971704830092235,0.622698178973191
105,0.622698178973191,0.984208341402091,0.70061808414
106,0.70061808414,1.00924497843046,0.774952771845774
107,0.774952771845774,1.04456150909677,0.840649524651429
108,0.840649524651429,1.08386561652571,0.895740140609249
109,0.895740140609249,1.11841525926842,0.939978134626062
110,0.939978134626062,1.14101656428602,0.973781037726754
111,0.973781037726754,1.14910981748092,0.997730105100034
112,0.997730105100034,1.14443747673634,1.01248888998592
113,1.01248888998592,1.13090034915732,1.01890940369199
114,1.01890940369199,1.11278398004199,1.01812913702718
115,1.01812913702718,1.09388079819399,1.01159853895106
116,1.01159853895106,1.07718391382455,1.00109874930868
117,1.00109874930868,1.06479905981866,0.988820130703332
118,0.988820130703332,1.05787935793512,0.977506167566561
119,0.977506167566561,1.05652615769188,0.970544144746816
120,0.970544144746816,1.05969590813525,0.971704830092235
121,0.971704830092235,1.06518246281206,0.984208341402091
122,0.984208341402091,1.0696852531711,1.00924497843046
123,1.00924497843046,1.0689542189746,1.04456150909677
124,1.04456150909677,1.05834277827453,1.08386561652571
125,1.08386561652571,1.03454861312398,1.11841525926842
126,1.11841525926842,0.998051622799507,1.14101656428602
127,1.14101656428602,0.95331122976556,1.14910981748092
128,1.14910981748092,0.906120076918953,1.14443747673634
129,1.14443747673634,0.861340911831193,1.13090034915732
130,1.13090034915732,0.822360452453388,1.11278398004199
131,1.11278398004199,0.791276562431622,1.09388079819399
132,1.09388079819399,0.769047769393415,1.07718391382455
133,1.07718391382455,0.755501024975519,1.06479905981866
134,1.06479905981866,0.74937304307253,1.05787935793512
135,1.05787935793512,0.748544836745673,1.05652615769188
136,1.05652615769188,0.750477905849698,1.05969590813525
137,1.05969590813525,0.752745887256458,1.06518246281206
138,1.06518246281206,0.753551962937082,1.0696852531711
139,1.0696852531711,0.752158628975881,1.0689542189746
140,1.0689542189746,0.74918529864586,1.05834277827453
141,1.05834277827453,0.746787175577795,1.03454861312398
142,1.03454861312398,0.748715433874619,0.998051622799507
143,0.998051622799507,0.759896400812751,0.95331122976556
144,0.95331122976556,0.784685131104156,0.906120076918953
