t,t-tau,t_next
0.185302018885184,1.2,0.200143451592794
0.200143451592794,1.0,0.280129106433515
0.280129106433515,0.9,0.38558018145798
0.38558018145798,0.81,0.491461688989665
0.491461688989665,0.729,0.582186238335514
0.582186238335514,0.6561,0.653276317696732
0.653276317696732,0.59049,0.705441156146993
0.705441156146993,0.531441,0.740994582157198
0.740994582157198,0.4782969,0.762494603339347
0.762494603339347,0.43046721,0.77231977989211
0.77231977989211,0.387420489,0.772565997619418
0.772565997619418,0.3486784401,0.765043233649248
0.765043233649248,0.31381059609,0.751300448243423
0.751300448243423,0.282429536481,0.732656128308979
0.732656128308979,0.2541865828329,0.71022777480351
0.71022777480351,0.22876792454961,0.684958564270188
0.684958564270188,0.205891132094649,0.657640928625151
0.657640928625151,0.185302018885184,0.628937237770739
0.628937237770739,0.200143451592794,0.606072200183792
0.606072200183792,0.280129106433515,0.60149063473918
0.60149063473918,0.38558018145798,0.61845200662629
0.61845200662629,0.491461688989665,0.65481840920041
0.65481840920041,0.582186238335514,0.705255287095279
0.705255287095279,0.653276317696732,0.763561164469334
0.763561164469334,0.705441156146993,0.824114575303877
0.824114575303877,0.740994582157198,0.882857617268499
0.882857617268499,0.762494603339347,0.937571250090148
0.937571250090148,0.77231977989211,0.987434154019063
0.987434154019063,0.772565997619418,1.03232436107155
1.03232436107155,0.765043233649248,1.07226666279231
1.07226666279231,0.751300448243423,1.10715711542438
1.10715711542438,0.732656128308979,1.13672095675378
1.13672095675378,0.71022777480351,1.16060232996637
1.16060232996637,0.684958564270188,1.1784888937003
1.1784888937003,0.657640928625151,1.19020760914528
1.19020760914528,0.628937237770739,1.19576780295754
1.19576780295754,0.606072200183792,1.19660026327306
1.19660026327306,0.60149063473918,1.19649728595601
1.19649728595601,0.61845200662629,1.19953367718926
1.19953367718926,0.65481840920041,1.2086728357094
1.2086728357094,0.705255287095279,1.22468967589608
1.22468967589608,0.763561164469334,1.24529467464377
1.24529467464377,0.824114575303877,1.26477789981742
1.26477789981742,0.882857617268499,1.27542408057338
1.27542408057338,0.937571250090148,1.27085319001046
1.27085319001046,0.987434154019063,1.24874626159363
1.24874626159363,1.03232436107155,1.21082054655574
1.21082054655574,1.07226666279231,1.161003853919
1.161003853919,1.10715711542438,1.10367707924218
1.10367707924218,1.13672095675378,1.04271099162453
1.04271099162453,1.16060232996637,0.98115310410396
0.98115310410396,1.1784888937003,0.92125577421324
0.92125577421324,1.19020760914528,0.864634265137043
0.864634265137043,1.19576780295754,0.812449252799816
0.812449252799816,1.19660026327306,0.765302608957687
0.765302608957687,1.19649728595601,0.72289286512119
0.72289286512119,1.19953367718926,0.684074030637374
0.684074030637374,1.2086728357094,0.64724909878865
0.64724909878865,1.22468967589608,0.611037410185857
0.611037410185857,1.24529467464377,0.574918186680899
