Month,Passengers
1950-02,0.039164025417656845
1950-03,0.0003606853059849868
1950-04,-0.020495593715040172
1950-05,-0.01293918237119751
1950-06,0.0661483358014694
1950-07,0.0399146357791178
1950-08,0.0
1950-09,0.01135398400476717
1950-10,-0.03871451218069044
1950-11,-0.01941808585710092
1950-12,0.07915024889051558
1951-01,0.06084381591368526
1951-02,-0.057448226912546474
1951-03,0.058670272769139054
1951-04,-0.0445482375455839
1951-05,0.13070531714281852
1951-06,-0.14134349516452538
1951-07,-0.020330856672395647
1951-08,0.0
1951-09,-0.005165663092211226
1951-10,0.04490648242861095
1951-11,0.05016096630321076
1951-12,-0.07706280756660089
1952-01,-0.005415551665153728
1952-02,0.01739174271186883
1952-03,-0.10141491818115433
1952-04,0.02384019184626318
1952-05,-0.04275515443109512
1952-06,0.1407198364690352
1952-07,-0.0579370282983005
1952-08,0.05085841723349116
1952-09,-0.06823440707636941
1952-10,0.037278598458421186
1952-11,-0.0007892377091298641
1952-12,-0.008017484398331831
1953-01,-0.019419267978928012
1953-02,-0.05129329438755015
1953-03,0.1159838077804185
1953-04,0.059946866757607964
1953-05,-0.036852632165514265
1953-06,-0.1156694701613592
1953-07,0.029303413671661005
1953-08,-0.021005454083809383
1953-09,0.008861549031009552
1953-10,-0.02614118374088381
1953-11,-0.054122331352679076
1953-12,-0.010015625081010171
1954-01,0.004558585617951749
1954-02,-0.08167803101426685
1954-03,0.037426405519116024
1954-04,-0.03038920578130444
1954-05,0.05623460846621775
1954-06,0.06128854800230599
1954-07,0.051590254422785975
1954-08,-0.0601073715074838
1954-09,0.014397377843335946
1954-10,-0.006904050486232549
1954-11,0.03838525807340343
1954-12,0.010167967343587492
1955-01,0.040400636817306435
1955-02,0.04377875842328027
1955-03,-0.08693334647966022
1955-04,0.04209821786434542
1955-05,-0.026660518479762807
1955-06,0.033522692038643775
1955-07,0.010103314582553757
1955-08,-0.017574679332079235
1955-09,0.01702295518015351
1955-10,-0.006769023276114616
1955-11,-0.024551940740486167
1955-12,0.039044948043052585
1956-01,-0.03386259813187742
1956-02,0.012942540617118858
1956-03,-0.001325937144607714
1956-04,-0.020161304538716784
1956-05,0.012137612843488021
1956-06,0.008053734807097257
1956-07,-0.04538943326460654
1956-08,0.02826856183538684
1956-09,-0.025447685493745986
1956-10,-0.01865760610162326
1956-11,0.02360168418025932
1956-12,-0.03809469148282574
1957-01,0.007634412402683033
1957-02,-0.020505642102889965
1957-03,0.03293619841321327
1957-04,-0.010029667740428572
1957-05,0.00406711746091748
1957-06,0.010683109926240775
1957-07,-0.0021597039951570807
1957-08,0.023852377936036007
1957-09,-0.013145102076624227
1957-10,-0.003557410491255908
1957-11,-0.00754672226676778
1957-12,-0.024666897716887348
1958-01,-0.01715307922624909
1958-02,-0.021431860753272858
1958-03,-0.03822763705756049
1958-04,-0.016713480973741035
1958-05,0.022285044789434494
1958-06,0.008055672263237668
1958-07,0.02406600515449231
1958-08,0.02382244939929823
1958-09,-0.0782291716064627
1958-10,0.03399760854141931
1958-11,-0.017737087669638996
1958-12,-0.013288750482622902
1959-01,0.05418664345079094
1959-02,0.015600940442479505
1959-03,0.04194959349353322
1959-04,0.014502783704045008
1959-05,0.016640145532557327
1959-06,-0.06421892251569261
1959-07,0.028198204656624704
1959-08,-0.008240115273756565
1959-09,0.03472113224534468
1959-10,-0.010821379170767642
1959-11,0.029581117392263323
1959-12,0.028732222407597874
1960-01,-0.03682194640553149
1960-02,-0.01308536742588462
1960-03,-0.10237906260235619
1960-04,0.12046607142176313
1960-05,-0.03525955743402687
1960-06,0.008563487002310133
1960-07,0.0013770444807121862
1960-08,-0.04593429287694839
1960-09,0.01202388057803283
1960-10,0.03183046406180612
1960-11,-0.05008233025613329
1960-12,-0.00996400616034876
